i=202 x=-0,348216475088844; y=0,358810934165474
i=203 x=-0,344569899484527; y=0,362314206689751
i=204 x=-0,340777133203901; y=0,3658837868577
i=205 x=-0,336830819031104; y=0,369519957987164
i=206 x=-0,332723207348479; y=0,373222811858736
i=207 x=-0,328446142730098; y=0,376992216532013
i=208 x=-0,323991052639665; y=0,380827779723909
i=209 x=-0,319348939098407; y=0,384728807209341
i=210 x=-0,314510374407409; y=0,388694255669043
i=211 x=-0,309465502270655; y=0,392722679386321
i=212 x=-0,304204045973993; y=0,396812170192716
i=213 x=-0,29871532563309; y=0,400960290093567
i=214 x=-0,29298828692793; y=0,405163996084347
i=215 x=-0,287011544183514; y=0,409419556818424
i=216 x=-0,280773441120098; y=0,413722461031038
i=217 x=-0,274262133033967; y=0,418067318004719
i=218 x=-0,267465694562158; y=0,422447750890429
i=219 x=-0,260372257388495; y=0,426856284459324
i=220 x=-0,252970182225235; y=0,431284229835652
i=221 x=-0,245248268939272; y=0,435721570021832
i=222 x=-0,237196007650255; y=0,440156851536791
i=223 x=-0,228803871770437; y=0,44457708922397
i=224 x=-0,220063651170599; y=0,44896769308433
i=225 x=-0,210968819737947; y=0,453312427690194
i=226 x=-0,201514926668696; y=0,457593415959747
i=227 x=-0,191699995143888; y=0,461791199420077
i=228 x=-0,181524906158069; y=0,465884866082066
i=229 x=-0,170993740199179; y=0,469852254238176
i=230 x=-0,160114046391443; y=0,473670235657845
i=231 x=-0,148897008934263; y=0,47731507490381
i=232 x=-0,137357485211023; y=0,480762853449082
i=233 x=-0,125513899074669; y=0,48398993908869
i=234 x=-0,113387985869967; y=0,486973474288233
i=235 x=-0,101004400831332; y=0,489691853120617
i=236 x=-0,088390217018724; y=0,492125156373237
i=237 x=-0,0755743501187772; y=0,494255518536844
i=238 x=-0,0625869531583083; y=0,496067408014636
i=239 x=-0,0494588235897654; y=0,497547811540877
i=240 x=0,946064892695938; y=0,312486929422059
i=241 x=0,944664245641005; y=0,306181847275852
i=242 x=0,943540349333241; y=0,300175544402525
i=243 x=0,942689106562606; y=0,294457583158493
i=244 x=0,942107931876172; y=0,289017009386353
i=245 x=0,941795654572256; y=0,283842047081897
i=246 x=0,941752340629216; y=0,278919747505776
i=247 x=0,941978992248419; y=0,27423561576208
i=248 x=0,942477085697914; y=0,269773266843502
i=249 x=0,94324793160611; y=0,265514198098671
i=250 x=0,944291896414119; y=0,261437788014953
i=251 x=0,945607601012649; y=0,257521612157442
i=252 x=0,94719127280385; y=0,253742085846318
i=253 x=0,949036416051132; y=0,250075323941475
i=254 x=0,951133866559905; y=0,246498022195219
i=255 x=0,953472165421621; y=0,242988171825486
i=256 x=0,956038103600765; y=0,239525507421017
i=257 x=0,95881728758952; y=0,236091691431234
i=258 x=0,961794627956296; y=0,232670301797107
i=259 x=0,964954711825547; y=0,229246703648458
i=260 x=0,968282061058879; y=0,225807870938191
i=261 x=0,971761296848723; y=0,222342200642888
i=262 x=0,975377235640004; y=0,218839342297208
i=263 x=-0,406770171477197; y=0,290754239171868
i=264 x=-0,405098342787361; y=0,293079055326261
i=265 x=-0,403371054589893; y=0,295451844331758
i=266 x=-0,4015858290166; y=0,297873835596633
i=267 x=-0,399740053078867; y=0,300346283420495
i=268 x=-0,397830970247253; y=0,302870465896114
i=269 x=-0,395855671470884; y=0,305447683514437
i=270 x=-0,393811085601697; y=0,308079257427716
i=271 x=-0,391693969187667; y=0,310766527319161
i=272 x=-0,389500895598411; y=0,313510848820318
i=273 x=-0,387228243446475; y=0,316313590408881
i=274 x=-0,384872184268085; y=0,319176129710091
i=275 x=-0,382428669428496; y=0,322099849113827
i=276 x=-0,379893416219683; y=0,325086130606858
i=277 x=-0,377261893122178; y=0,328136349705226
i=278 x=-0,374529304208953; y=0,331251868355119
i=279 x=-0,371690572677951; y=0,334434026651501
i=280 x=-0,368740323511847; y=0,337684133201989
i=281 x=-0,365672865279977; y=0,34100345393842
i=282 x=-0,362482171119069; y=0,34439319915005
i=283 x=-0,359161858958157; y=0,347854508479796
i=284 x=-0,355705171090571; y=0,351388433587999
i=285 x=-0,352104953244568; y=0,354995918146449
i=286 x=-0,348353633366854; y=0,358677774778577
i=287 x=-0,344443200413442; y=0,362434658509565
i=288 x=-0,34036518354441; y=0,366267036232828
i=289 x=-0,336110632248173; y=0,370175151637347
i=290 x=-0,331670098083168; y=0,374158984974973
i=291 x=-0,327033618927251; y=0,378218206980237
i=292 x=-0,322190706875761; y=0,382352126191155
i=293 x=-0,317130341236369; y=0,386559628863781
i=294 x=-0,311840968441025; y=0,390839110634752
i=295 x=-0,306310511139553; y=0,395188399077485
i=296 x=-0,300526389259617; y=0,399604666337341
i=297 x=-0,294475556411573; y=0,404084331144001
i=298 x=-0,288144555671212; y=0,40862294971898
i=299 x=-0,281519599458412; y=0,413215095465758
i=300 x=-0,274586678890182; y=0,417854227902579
