i=260 x=1,76024355643096; y=1,01043780547911
i=261 x=1,78174639901097; y=0,986782000502839
i=262 x=1,80489006381822; y=0,96281226534487
i=263 x=-0,461981482843384; y=4,76039766295684
i=264 x=-0,455372942915526; y=4,75649448833468
i=265 x=-0,448630666823; y=4,7524645816679
i=266 x=-0,441751117534339; y=4,74830248656056
i=267 x=-0,434730664702366; y=4,74400246001939
i=268 x=-0,427565584370563; y=4,73955845511653
i=269 x=-0,420252059085142; y=4,7349641025176
i=270 x=-0,412786178487015; y=4,7302126908041
i=271 x=-0,405163940469787; y=4,72529714551743
i=272 x=-0,397381253003079; y=4,72021000685005
i=273 x=-0,389433936736371; y=4,71494340590919
i=274 x=-0,381317728516568; y=4,70948903947925
i=275 x=-0,373028285973569; y=4,7038381432121
i=276 x=-0,364561193352657; y=4,69798146317954
i=277 x=-0,355911968800975; y=4,69190922573088
i=278 x=-0,347076073348396; y=4,68561110561112
i=279 x=-0,338048921861689; y=4,67907619231369
i=280 x=-0,328825896295501; y=4,67229295466677
i=281 x=-0,319402361615776; y=4,66524920368666
i=282 x=-0,309773684831406; y=4,65793205377789
i=283 x=-0,299935257639827; y=4,65032788242015
i=284 x=-0,289882523272846; y=4,64242228856204
i=285 x=-0,279611008221803; y=4,63420005004471
i=286 x=-0,269116359627317; y=4,62564508051146
i=287 x=-0,258394389239619; y=4,61674038642943
i=288 x=-0,247441124991421; y=4,60746802506569
i=289 x=-0,236252871376459; y=4,59780906453302
i=290 x=-0,224826279992181; y=4,58774354736266
i=291 x=-0,21315843178132; y=4,57725045948678
i=292 x=-0,20124693268861; y=4,56630770703813
i=293 x=-0,189090024625357; y=4,55489210401341
i=294 x=-0,176686713790031; y=4,54297937461668
i=295 x=-0,16403691850285; y=4,53054417501016
i=296 x=-0,151141638740594; y=4,51756014025485
i=297 x=-0,138003149453638; y=4,50399996341159
i=298 x=-0,124625219440843; y=4,48983551505773
i=299 x=-0,111013356957178; y=4,47503801278125
i=300 x=-0,0971750822176164; y=4,45957825141434
i=301 x=-0,083120225399609; y=4,4434269056566
i=302 x=-0,0688612464818986; y=4,42655491701359
i=303 x=-0,054413570147067; y=4,40893397622936
i=304 x=-0,0397959248951751; y=4,3905371100714
i=305 x=-0,0250306705158279; y=4,37133937688233
i=306 x=-0,0101440922494486; y=4,35131866803514
i=307 x=0,00483336610541203; y=4,33045660196536
i=308 x=0,0198669634169966; y=4,30873948367682
i=309 x=0,0349176537361047; y=4,28615928621676
i=310 x=0,049942247254492; y=4,26271459324189
i=311 x=0,0648937717760544; y=4,23841142636115
i=312 x=0,0797220550327502; y=4,21326387134967
i=313 x=0,0943745294085619; y=4,18729441790198
i=314 x=0,108797236144132; y=4,16053394182361
i=315 x=1,63133369795746; y=1,73473547931607
i=316 x=1,61755104004001; y=1,6990561974213
i=317 x=1,60463646365977; y=1,66392091787596
i=318 x=1,59262082581532; y=1,62932570419826
i=319 x=1,58153724678845; y=1,59526466494477
i=320 x=1,57142111359206; y=1,56172970757535
i=321 x=1,56231004668955; y=1,52871025501952
i=322 x=1,55424381467708; y=1,49619292554769
i=323 x=1,54726417808241; y=1,46416118081549
i=324 x=1,54141464046358; y=1,43259495354199
i=325 x=1,53674008376912; y=1,40147027562308
i=326 x=1,5332862672165; y=1,37075893948017
i=327 x=1,53109917697319; y=1,34042823897291
i=328 x=1,53022422976298; y=1,31044084849553
i=329 x=1,53070535789152; y=1,28075490524502
i=330 x=1,53258403378396; y=1,25132435417492
i=331 x=1,53589832229855; y=1,22209959287243
i=332 x=1,54068206834312; y=1,19302841400391
i=333 x=1,5469643249775; y=1,16405719297093
i=334 x=1,55476909807138; y=1,13513222191246
i=335 x=1,56411543280019; y=1,10620106387762
i=336 x=1,57501780935463; y=1,07721380241731
i=337 x=1,58748676766311; y=1,04812409021405
i=338 x=1,60152965561434; y=1,0188899438825
i=339 x=1,61715139419018; y=0,989474275553384
i=340 x=1,634355169625; y=0,959845183725309
i=341 x=1,65314298743641; y=0,929976041353632
i=342 x=1,67351604761335; y=0,899845419297104
i=343 x=1,69547491980377; y=0,869436871975871
i=344 x=1,71901951109551; y=0,838738593466708
i=345 x=1,74414882859798; y=0,807742929020332
i=346 x=1,77086054774184; y=0,776445700277005
i=347 x=1,79915040933649; y=0,744845272243549
i=348 x=1,82901148951351; y=0,712941255942999
i=349 x=1,86043342414314; y=0,680732702848447
i=350 x=-0,535664868194679; y=4,80088658720159
i=351 x=-0,53005559704905; y=4,79799439401298
i=352 x=-0,524333473097555; y=4,7950124610499
i=353 x=-0,518495384310986; y=4,79193705789815
i=354 x=-0,512538120227426; y=4,78876426296415
i=355 x=-0,50645836925754; y=4,78548995200108
i=356 x=-0,500252716027971; y=4,78210978586094
i=357 x=-0,493917638785169; y=4,77861919741624
i=358 x=-0,487449506885682; y=4,77501337759117
i=359 x=-0,480844578403765; y=4,77128726043795
i=360 x=-0,474098997892072; y=4,76743550718941
i=361 x=-0,467208794337619; y=4,76345248921441
i=362 x=-0,460169879361903; y=4,75933226979771
i=363 x=-0,452978045722545; y=4,75506858466151
i=364 x=-0,445628966183024; y=4,75065482114033
i=365 x=-0,438118192828286; y=4,74608399591683
i=366 x=-0,430441156916607; y=4,74134873122126
i=367 x=-0,422593169373113; y=4,73644122939317
i=368 x=-0,414569422047502; y=4,73135324570075
i=369 x=-0,406364989878797; y=4,72607605931073
i=370 x=-0,397974834133405; y=4,72060044230102
i=371 x=-0,389393806910141; y=4,71491662660917
i=372 x=-0,380616657137955; y=4,70901426881415
i=373 x=-0,371638038329513; y=4,70288241265651
i=374 x=-0,362452518397475; y=4,69650944921495
i=375 x=-0,353054591891521; y=4,68988307467702
i=376 x=-0,343438695073961; y=4,68299024567012
i=377 x=-0,333599224321653; y=4,67581713215885
i=378 x=-0,323530558423605; y=4,66834906796978
i=379 x=-0,313227085438793; y=4,66057049907892
i=380 x=-0,302683234889457; y=4,65246492989618
i=381 x=-0,291893516193473; y=4,64401486791215
i=382 x=-0,28085256438758; y=4,63520176724396
i=383 x=-0,269555194363067; y=4,62600597183967
i=384 x=-0,257996465028617; y=4,61640665938848
i=385 x=-0,246171755031848; y=4,60638178735225
i=386 x=-0,234076851910549; y=4,5959080430024
i=387 x=-0,221708056802886; y=4,58496079993746
i=388 x=-0,209062307114741; y=4,5735140842948
i=389 x=-0,196137319807228; y=4,56154055478328
i=390 x=-0,182931758204032; y=4,54901150177634
i=391 x=-0,169445425388616; y=4,53589687203912
i=392 x=-0,155679487308805; y=4,52216532722607
i=393 x=-0,141636728548522; y=4,50778434606262
i=394 x=-0,127321843249371; y=4,49272038205822
i=395 x=-0,112741762715075; y=4,47693909056885
i=396 x=-0,0979060196143362; y=4,46040564081585
i=397 x=-0,0828271461784853; y=4,44308512972478
i=398 x=-0,0675211001148178; y=4,4249431146476
i=399 x=-0,0520077068904613; y=4,40594628045133
i=400 x=-0,0363111004457186; y=4,38606325217678
i=401 x=-0,0204601363584244; y=4,36526555646796
i=402 x=-0,00448874243202325; y=4,34352872223888
i=403 x=0,0115638372843754; y=4,32083349310263
i=404 x=1,56824746608286; y=2,03145463520436
i=405 x=1,55179826768406; y=1,98961305097369
i=406 x=1,53608222498566; y=1,94824738738816
i=407 x=1,52111298777149; y=1,90735485827023
i=408 x=1,50690586674401; y=1,86693144784163
i=409 x=1,49347783706768; y=1,82697183761222
i=410 x=1,48084753642999; y=1,78746932169949
i=411 x=1,46903525569377; y=1,74841571063889
i=412 x=1,45806291968048; y=1,70980122403218
i=413 x=1,44795405506213; y=1,67161437284711
i=414 x=1,43873374178373; y=1,63384183287672
i=415 x=1,43042854395186; y=1,59646831184453
i=416 x=1,42306641580027; y=1,55947641394344
i=417 x=1,4166765783158; y=1,52284650724301
i=418 x=1,41128936254762; y=1,48655660135981
i=419 x=1,40693601672967; y=1,4505822449546
i=420 x=1,40364847631229; y=1,41489645478063
i=421 x=1,40145909895878; y=1,37946968981421
i=422 x=1,40040037050481; y=1,34426988498153
i=423 x=1,4005045925641; y=1,30926255861635
i=424 x=1,40180356734402; y=1,27441100555478
i=425 x=1,40432829945991; y=1,23967658344127
i=426 x=1,40810873706035; y=1,20501909355344
i=427 x=1,41317357440413; y=1,17039724996872
i=428 x=1,41955013453997; y=1,13576922342352
i=429 x=1,42726434396676; y=1,10109324024475
i=430 x=1,43634080187788; y=1,06632821360861
i=431 x=1,44680293617691; y=1,03143438487037
i=432 x=1,45867322841474; y=0,996373956753199
i=433 x=1,47197348133659; y=0,961111706926988
i=434 x=1,48672509635091; y=0,925615578579223
i=435 x=1,50294932363598; y=0,889857252491459
i=436 x=1,52066744377573; y=0,853812711603225
i=437 x=1,53990083528837; y=0,817462813113402
i=438 x=1,56067087545209; y=0,780793884112229
i=439 x=1,58299861058858; y=0,74379835376361
i=440 x=1,60690411443956; y=0,706475426868366
i=441 x=1,63240542722647; y=0,668831787802869
i=442 x=1,65951693083715; y=0,630882295886078
i=443 x=1,68824696446072; y=0,592650585292564
i=444 x=1,71859441726256; y=0,554169401071731
i=445 x=1,75054394966903; y=0,515480364449593
i=446 x=1,78405939824515; y=0,476632626292567
i=447 x=1,81907483389365; y=0,437679472559142
i=448 x=1,85548273414828; y=0,398671285263491
i=449 x=1,89311896064635; y=0,359642178713509
i=450 x=1,93174508473896; y=0,320585917837442
i=451 x=-0,41525238167061; y=6,41493125997159
i=452 x=-0,415526896134168; y=6,41439083732259
i=453 x=-0,415736017255925; y=6,41369256945693
i=454 x=-0,415903350874969; y=6,4128654390775
i=455 x=-0,416035718342794; y=6,41193259955216
i=456 x=-0,416134084106034; y=6,41091161171212
i=457 x=-0,416197088915266; y=6,40981644847871
i=458 x=-0,416222348475885; y=6,40865878045738
i=459 x=-0,416207017027401; y=6,40744874919495
i=460 x=-0,416148068951167; y=6,40619545156403
i=461 x=-0,416042458403537; y=6,40490725948427
i=462 x=-0,41588722164985; y=6,40359204135708
i=463 x=-0,415679551259974; y=6,40225732169748
i=464 x=-0,41541685655003; y=6,40091039973612
i=465 x=-0,415096817922156; y=6,39955843913918
i=466 x=-0,41471743943096; y=6,3982085360157
i=467 x=-0,414277102124545; y=6,3968677693529
i=468 x=-0,413774619650752; y=6,39554323607347
i=469 x=-0,41320929689554; y=6,394242071587
i=470 x=-0,412580991827429; y=6,39297145576465
i=471 x=-0,411890180144232; y=6,39173860357357
i=472 x=-0,411138021683344; y=6,39055073910853
i=473 x=-0,410326426818309; y=6,3894150514424
i=474 x=-0,409458120196885; y=6,38833863061277
i=475 x=-0,408536698177823; y=6,38732838222718
i=476 x=-0,407566675229901; y=6,386390919686
i=477 x=-0,406553513445306; y=6,38553243398496
i=478 x=-0,405503628336532; y=6,38475854255914
i=479 x=-0,4044243634424; y=6,3840741207185
i=480 x=-0,403323926252345; y=6,38348312187347
i=481 x=-0,402211278894669; y=6,38298839579803
i=482 x=-0,401095979233474; y=6,38259151728278
i=483 x=-0,39998797166984; y=6,38229264015088
i=484 x=-0,398897331985868; y=6,38209039303663
i=485 x=-0,39783397657717; y=6,38198183281708
i=486 x=-0,396807352540241; y=6,38196246856585
i=487 x=-0,395826130125836; y=6,38202636322145
i=488 x=-0,394897921755926; y=6,38216631231874
i=489 x=-0,394029051134703; y=6,38237409028971
i=490 x=-0,39322439163724; y=6,3826407466378
i=491 x=-0,392487285694037; y=6,38295692841241
i=492 x=-0,391819547675591; y=6,38331320307233
i=493 x=-0,391221543619321; y=6,38370035739529
i=494 x=-0,390692333730867; y=6,38410965299357
i=495 x=-0,390229859061121; y=6,38453302596228
i=496 x=-0,389831152438272; y=6,38496322568222
i=497 x=-0,389492555212102; y=6,38539389447372
i=498 x=-0,389209924768589; y=6,38581959477795
i=499 x=-0,388978822083555; y=6,38623579351011
